number,year,rank,player,team,points,percentages,country,club_country
139,2001,3rd,Oliver Kahn,Bayern Munich,114.0,26.51,Germany,Germany
140,2002,1st,Ronaldo ,Real Madrid,169.0,39.86,Brazil,Spain
141,2002,2nd,Roberto Carlos,Real Madrid,145.0,34.2,Brazil,Spain
142,2002,3rd,Oliver Kahn,Bayern Munich,110.0,25.94,Germany,Germany
143,2003,1st,Pavel Nedvěd,Juventus,190.0,43.08,Czech Republic,Italy
144,2003,2nd,Thierry Henry,Arsenal,128.0,29.02,France,England
145,2003,3rd,Paolo Maldini,Milan,123.0,27.89,Italy,Italy
146,2004,1st,Andriy Shevchenko,Milan,175.0,39.15,Ukraine,Italy
147,2004,2nd,Deco,Barcelona,139.0,31.1,Portugal,Spain
148,2004,3rd,Ronaldinho,Barcelona,133.0,29.75,Brazil,Spain
149,2005,1st,Ronaldinho,Barcelona,225.0,43.69,Brazil,Spain
150,2005,2nd,Frank Lampard,Chelsea,148.0,28.74,England,England
151,2005,3rd,Steven Gerrard,Liverpool,142.0,27.57,England,England
152,2006,1st,Fabio Cannavaro ,Real Madrid,173.0,41.39,Italy,Spain
153,2006,2nd,Gianluigi Buffon,Juventus,124.0,29.67,Italy,Italy
154,2006,3rd,Thierry Henry,Arsenal,121.0,28.95,France,England
155,2007,1st,Kaká,Milan,444.0,45.49,Brazil,Italy
156,2007,2nd,Cristiano Ronaldo,Manchester United,277.0,28.38,Portugal,England
157,2007,3rd,Lionel Messi,Barcelona,255.0,26.13,Argentina,Spain
158,2008,1st,Cristiano Ronaldo,Manchester United,446.0,49.23,Portugal,Spain
159,2008,2nd,Lionel Messi,Barcelona,281.0,31.02,Argentina,Spain
160,2008,3rd,Fernando Torres,Liverpool,179.0,19.76,Spain,England
161,2009,1st,Lionel Messi,Barcelona,473.0,54.0,Argentina,Spain
162,2009,2nd,Cristiano Ronaldo,Real Madrid,233.0,26.6,Portugal,Spain
163,2009,3rd,Xavi,Barcelona,170.0,19.41,Spain,Spain
164,2010,1st,Lionel Messi,Barcelona,0,22.65,Argentina,Spain
165,2010,2nd,Andrés Iniesta,Barcelona,0,17.36,Spain,Spain
166,2010,3rd,Xavi,Barcelona,0,16.48,Spain,Spain
167,2011,1st,Lionel Messi,Barcelona,0,47.88,Argentina,Spain
168,2011,2nd,Cristiano Ronaldo,Real Madrid,0,21.60,Portugal,Spain
169,2011,3rd,Xavi,Barcelona,0,9.23,Spain,Spain
170,2012,1st,Lionel Messi,Barcelona,0,41.60,Argentina,Spain
171,2012,2nd,Cristiano Ronaldo,Real Madrid,0,23.68,Portugal,Spain
172,2012,3rd,Andrés Iniesta,Barcelona,0,10.91,Spain,Spain
173,2013,1st,Cristiano Ronaldo,Real Madrid,0,27.99,Portugal,Spain
174,2013,2nd,Lionel Messi,Barcelona,0,24.72,Argentina,Spain
175,2013,3rd,Franck Ribéry,Bayern Munich,0,23.36,France,Germany
176,2014,1st,Cristiano Ronaldo,Real Madrid,0,37.66,Portugal,Spain
177,2014,2nd,Lionel Messi,Barcelona,0,15.76,Argentina,Spain
178,2014,3rd,Manuel Neuer,Bayern Munich,0,15.72,Germany,Germany
179,2015,1st,Lionel Messi,Barcelona,0,41.33,Argentina,Spain
180,2015,2nd,Cristiano Ronaldo,Real Madrid,0,27.76,Portugal,Spain
181,2015,3rd,Neymar,Barcelona,0,7.86,Brazil,Spain
182,2016,1st,Cristiano Ronaldo,Real Madrid,745.0,59.17,Portugal,Spain
183,2016,2nd,Lionel Messi,Barcelona,316.0,25.1,Argentina,Spain
184,2016,3rd,Antoine Griezmann,Atlético Madrid,198.0,15.73,France,Spain
185,2017,1st,Cristiano Ronaldo,Real Madrid,946.0,47.85,Portugal,Spain
186,2017,2nd,Lionel Messi,Barcelona,670.0,33.89,Argentina,Spain
187,2017,3rd,Neymar,Paris Saint-Germain,361.0,18.26,Brazil,France
188,2018,1st,Luka Modrić,Real Madrid,753.0,45.83,Croatia,Spain
189,2018,2nd,Cristiano Ronaldo,Juventus,476.0,28.97,Portugal,Italy
190,2018,3rd,Antoine Griezmann,Atlético Madrid,414.0,25.2,France,Spain
191,2019,1st,Lionel Messi,Barcelona,686.0,37.26,Argentina,Spain
192,2019,2nd,Virgil van Dijk,Liverpool,679.0,36.88,Netherlands,England
193,2019,3rd,Cristiano Ronaldo,Juventus,476.0,25.86,Portugal,Italy
